FID,OBJECTID,PERIMETER,CO_NAME,CO_ABBR,ACRES,Shape_Leng,RO,SHAPE_Length,SHAPE_Area
86,86,204625.078125,RICHMOND,RICH,306894.1875,671340.740222,FRO,250035.86557442,13368301395.4
87,87,149572.875,SCOTLAND,SCOT,205394.6875,490723.650263,FRO,182504.63200045,8946986652.91
88,88,208858.4375,ONSLOW,ONSL,524462.1875,685229.69266,WIRO,254518.663777625,22845556882.3
89,89,242923.859375,ROBESON,ROBE,608191.875,796992.700312,FRO,295592.844973981,26492819607.5
90,90,256743.34375,BLADEN,BLAD,568139.5625,842332.12465,FRO,312205.998888351,24748144468.1
91,91,248954.015625,PENDER,PEND,563448.6875,816776.620168,WIRO,302430.647102137,24543807558.4
92,92,282840.125,COLUMBUS,COLU,610019.3125,927951.329661,WIRO,342487.629966007,26572423279.9
93,93,157195.296875,NEW HANOVER,NEWH,140534.203125,515731.563093,WIRO,190464.603462584,6121666285.42
94,94,264296.78125,BRUNSWICK,BRUN,573643.125,867113.772116,WIRO,319453.376216716,24987879023.4
95,95,194665.46875,IREDELL,IRED,379626.1875,638664.962936,MRO,240335.534884182,16635303647.9
96,96,172698.1875,ROWAN,ROWA,335082.46875,566593.969329,MRO,212737.946738828,14596182633.3
97,97,138930.328125,LINCOLN,LINC,196551.21875,455807.279973,MRO,170626.329749947,8561765841.58
98,98,192864.546875,MECKLENBURG,MECK,351606.4375,632756.423077,MRO,236507.398317632,15217170486.4
99,99,133645.34375,CABARRUS,CABA,233367.0625,438468.114614,MRO,164101.209806139,10165462414.9
100,100,151477.359375,GASTON,GAST,232694.484375,496971.956611,MRO,185718.367227168,10136165636
